index,origin,desc,pv
uf,V0001,Unidade da Federação,"{11: 'Rondônia', 12: 'Acre', 13: 'Amazonas', 14: 'Roraima', 15: 'Pará', 16: 'Amapá', 17: 'Tocantins', 21: 'Maranhão', 22: 'Piauí', 23: 'Ceará', 24: 'Rio Grande do Norte', 25: 'Paraíba', 26: 'Pernambuco', 27: 'Alagoas', 28: 'Sergipe', 29: 'Bahia', 31: 'Minas Gerais', 32: 'Espírito Santo', 33: 'Rio de Janeiro', 35: 'São Paulo', 41: 'Paraná', 42: 'Santa Catarina', 43: 'Rio Grande do Sul', 50: 'Mato Grosso do Sul', 51: 'Mato Grosso', 52: 'Goiás', 53: 'Distrito Federal'}"
moradores,V0022,Total de moradores,{}
tipo_zona,V0026,Tipo de situação censitária,"{1: 'Urbano', 2: 'Rural'}"
tipo_area,V0031,Tipo de área,"{1: 'Capital', 2: 'Resto da RM (Região Metropolitana, excluindo a capital)', 3: 'RIDE (excluindo a capital)', 4: 'Resto da UF (Unidade da Federação, excluindo a região metropolitana e RIDE)'}"
V0025A,V0025A,Seleção do morador de 15 anos ou mais para responder o questionário individual,"{0: 'Não selecionado', 1: 'Selecionado', 9: 'Não aplicável'}"
renda_pc,VDF004,"Faixa de rendimento domiciliar per capita (exclusive o rendimento das pessoas cuja condição na unidade domiciliar era pensionista, empregado doméstico ou parente do empregado doméstico)","{1: 'Até ¼ salário mínimo', 2: 'Mais de ¼ até ½ salário mínimo', 3: 'Mais de ½ até 1 salário mínimo', 4: 'Mais de 1 até 2 salários mínimos', 5: 'Mais de 2 até 3 salários mínimos', 6: 'Mais de 3 até 5 salários mínimos', 7: 'Mais de 5 salários mínimos'}"
casa_tipo,A001,Tipo do domicílio,"{1: 'Casa', 2: 'Apartamento', 3: 'Habitação em casa de cômodos, cortiço ou cabeça de porco', 9: 'Ignorado'}"
A002010,A002010,Qual é o material que predomina na construção das paredes externas deste domicílio?,"{1: 'Alvenaria com revestimento ou taipa revestida', 2: 'Alvenaria sem revestimento', 3: 'Taipa sem revestimento', 4: 'Madeira apropriada para construção (aparelhada)', 5: 'Madeira aproveitada', 6: 'Outro material', 9: 'Ignorado'}"
A003010,A003010,Material predominante na cobertura (telhado) do domicílio,"{1: 'Telha sem laje de concreto', 2: 'Telha com laje de concreto', 3: 'Somente laje de concreto', 4: 'Madeira apropriada para construção (aparelhada)', 5: 'Zinco, alumínio ou chapa metálica', 6: 'Outro material', 9: 'Ignorado'}"
A004010,A004010,Qual é o material que predomina no piso deste domicílio,"{1: 'Cerâmica, lajota ou pedra (inclusive outros pisos frios como porcelanato e granito)', 2: 'Madeira apropriada para construção (aparelhada) (tábua corrida, taco, parquet e laminado)', 3: 'Cimento', 4: 'Terra', 5: 'Outro material', 9: 'Ignorado'}"
A01001,A01001,Quantos cômodos têm este domicílio,{99: 'Ignorado'}
A011,A011,Quantos cômodos estão servindo permanentemente de dormitório para os moradores deste domicílio,{99: 'Ignorado'}
A005010,A005010,Qual é a principal forma de abastecimento de água deste domicílio,"{1: 'Rede geral de distribuição', 2: 'Poço profundo ou artesiano', 3: 'Poço raso, freático ou cacimba', 4: 'Fonte ou nascente', 5: 'Água da chuva armazenada', 6: 'Outra', 9: 'Ignorado'}"
A005012,A005012,Este domicílio está ligado à rede geral de distribuição de água?,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
A00601,A00601,A água utilizada neste domicílio chega,"{1: 'Canalizada em pelo menos um cômodo', 2: 'Canalizada no terreno ou propriedade', 3: 'Não canalizada', 9: 'Ignorado'}"
A009010,A009010,A água utilizada para beber neste domicílio é,"{1: 'Filtrada', 2: 'Fervida', 3: 'Tratada com hipoclorito de sódio (cloro)', 4: 'Tratada de outra forma no domicílio', 5: 'Mineral industrializada', 6: 'Sem tratamento no domicílio', 9: 'Ignorado'}"
A01401,A01401,"Quantos banheiros (com chuveiro ou banheira e vaso sanitário ou privada) de uso exclusivo dos moradores existem neste domicílio, inclusive os localizados no terreno ou propriedade","{0: 'Nenhum', 99: 'Ignorado'}"
A01402,A01402,"Quantos banheiros (com chuveiro ou banheira e vaso sanitário ou privada) de uso comum a mais de um domicilio, existem neste terreno ou propriedade","{0: 'Nenhum', 99: 'Ignorado'}"
A01403,A01403,"Utiliza sanitário ou buraco para dejeções, inclusive os localizados no terreno ou na propriedade (cercado por paredes de qualquer material","{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
A01501,A01501,Para onde vai o esgoto do banheiro? Ou Para onde vai o esgoto do sanitário ou do buraco para dejeções?,"{1: 'Rede geral de esgoto ou pluvial', 2: 'Fossa séptica ligada à rede', 3: 'Fossa séptica não ligada à rede', 4: 'Fossa rudimentar', 5: 'Vala', 6: 'Rio, lago, córrego ou mar', 7: 'Outra', 9: 'Ignorado'}"
A016010,A016010,Qual o (principal) destino dado ao lixo,"{1: 'Coletado diretamente por serviço de limpeza (independente da frequência de dias de coleta)', 2: 'Coletado em caçamba de serviço de limpeza', 3: 'Queimado (na propriedade)', 4: 'Enterrado (na propriedade)', 5: 'Jogado em terreno baldio ou logradouro', 6: 'Outro', 9: 'Ignorado'}"
A018011,A018011,Neste domicílio existe televisão em cores,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
A018012,A018012,Quantos?,{99: 'Ignorado'}
