Reference,Stressor Source Category,Exposure Stressor,Stressor Source Details,Number of Stressor Samples,Stressor Notes,Number of Receptors,Receptors,Receptor Notes,Smoking Status,Age,Sex,Race,Methods,LOD/LOQ,Detection Frequency (%),Medium,Exposure Marker,Marker Level,Measurement Statistic,Assay Notes,Country,State or Province,"City, Town, Region or Area",Exposure Event Notes,Outcome Relationship,Disease,Phenotype
19064650,Dietary|Environmental,Aluminum,,,,"4,177",Study subjects,,,82 years (mean),Both Males and Females,,,,,,,,,,France,,,,positive correlation,Alzheimer Disease,
15355492,Environmental,beta-N-methylamino-L-alanine,,,,2,Subjects with disease:Alzheimer Disease,Canadian comparison who died of progressive neurodegenerative disease,,,,,,0.1 nanomoles per liter,100.0,"brain, superior frontal gyrus",beta-N-methylamino-L-alanine,6.55 micrograms per gram,mean,free BMAA form,Canada,,,,,,
15355492,Environmental,beta-N-methylamino-L-alanine,,,,2,Subjects with disease:Alzheimer Disease,Canadian comparison who died of progressive neurodegenerative disease,,,,,,0.1 nanomoles per liter,100.0,"brain, superior frontal gyrus",beta-N-methylamino-L-alanine,3.4 micrograms per gram,minimum,free BMAA form,Canada,,,,,,
15355492,Environmental,beta-N-methylamino-L-alanine,,,,2,Subjects with disease:Alzheimer Disease,Canadian comparison who died of progressive neurodegenerative disease,,,,,,0.1 nanomoles per liter,100.0,"brain, superior frontal gyrus",beta-N-methylamino-L-alanine,9.7 micrograms per gram,maximum,free BMAA form,Canada,,,,,,
15355492,Environmental,beta-N-methylamino-L-alanine,,,,2,Subjects with disease:Alzheimer Disease,Canadian comparison who died of progressive neurodegenerative disease,,,,,,0.1 nanomoles per liter,100.0,"brain, superior frontal gyrus",beta-N-methylamino-L-alanine,242 micrograms per gram,mean,protein BMAA form,Canada,,,,,,
15355492,Environmental,beta-N-methylamino-L-alanine,,,,2,Subjects with disease:Alzheimer Disease,Canadian comparison who died of progressive neurodegenerative disease,,,,,,0.1 nanomoles per liter,100.0,"brain, superior frontal gyrus",beta-N-methylamino-L-alanine,220 micrograms per gram,minimum,protein BMAA form,Canada,,,,,,
15355492,Environmental,beta-N-methylamino-L-alanine,,,,2,Subjects with disease:Alzheimer Disease,Canadian comparison who died of progressive neurodegenerative disease,,,,,,0.1 nanomoles per liter,100.0,"brain, superior frontal gyrus",beta-N-methylamino-L-alanine,264 micrograms per gram,maximum,protein BMAA form,Canada,,,,,,
27301955,Environmental,Cadmium,,,,"4,064",Study subjects,total group,Current smoker|Former smoker|Never smoker,60-89 years (range),Both Males and Females,15% Black|24% Hispanic|2% Other|59% White,NHANES data | NHANES Linked Mortality Public File,,,blood,Cadmium,,,,United States,,,,positive correlation,Alzheimer Disease,
26721301,Environmental,Metals,,,,14,Subjects with disease:Alzheimer Disease,postmortem sample,,78 years (average),Both Males and Females,,inductively coupled plasma sector field mass spectrometry,10 nanograms per gram,,frontal lobe,Arsenic,145 nanograms per gram,mean,,United States,,,,prediction/hypothesis,Alzheimer Disease,
26721301,Environmental,Metals,,,,14,Subjects with disease:Alzheimer Disease,postmortem sample,,78 years (average),Both Males and Females,,inductively coupled plasma sector field mass spectrometry,3.75 nanograms per gram,,frontal lobe,Cadmium,20 nanograms per gram,mean,,United States,,,,,,
26721301,Environmental,Metals,,,,14,Subjects with disease:Alzheimer Disease,postmortem sample,,78 years (average),Both Males and Females,,inductively coupled plasma sector field mass spectrometry,10 nanograms per gram,,frontal lobe,Chromium,154 nanograms per gram,mean,,United States,,,,,,
26721301,Environmental,Metals,,,,14,Subjects with disease:Alzheimer Disease,postmortem sample,,78 years (average),Both Males and Females,,inductively coupled plasma sector field mass spectrometry,500 nanograms per gram,,frontal lobe,Copper,2112 nanograms per gram,mean,,United States,,,,,,
26721301,Environmental,Metals,,,,14,Subjects with disease:Alzheimer Disease,postmortem sample,,78 years (average),Both Males and Females,,inductively coupled plasma sector field mass spectrometry,1250 nanograms per gram,,frontal lobe,Iron,42571 nanograms per gram,mean,,United States,,,,positive correlation,Alzheimer Disease,
26721301,Environmental,Metals,,,,14,Subjects with disease:Alzheimer Disease,postmortem sample,,78 years (average),Both Males and Females,,inductively coupled plasma sector field mass spectrometry,3.75 nanograms per gram,,frontal lobe,Mercury,10 nanograms per gram,mean,,United States,,,,,,
26721301,Environmental,Metals,,,,14,Subjects with disease:Alzheimer Disease,postmortem sample,,78 years (average),Both Males and Females,,inductively coupled plasma sector field mass spectrometry,2.5 nanograms per gram,,frontal lobe,Manganese,151 nanograms per gram,mean,,United States,,,,,,
26721301,Environmental,Metals,,,,14,Subjects with disease:Alzheimer Disease,postmortem sample,,78 years (average),Both Males and Females,,inductively coupled plasma sector field mass spectrometry,10 nanograms per gram,,frontal lobe,Nickel,52 nanograms per gram,mean,,United States,,,,,,
26721301,Environmental,Metals,,,,14,Subjects with disease:Alzheimer Disease,postmortem sample,,78 years (average),Both Males and Females,,inductively coupled plasma sector field mass spectrometry,5 nanograms per gram,,frontal lobe,Lead,27 nanograms per gram,mean,,United States,,,,,,
26721301,Environmental,Metals,,,,14,Subjects with disease:Alzheimer Disease,postmortem sample,,78 years (average),Both Males and Females,,inductively coupled plasma sector field mass spectrometry,2.5 nanograms per gram,,frontal lobe,Tin,26 nanograms per gram,mean,,United States,,,,,,
26721301,Environmental,Metals,,,,14,Subjects with disease:Alzheimer Disease,postmortem sample,,78 years (average),Both Males and Females,,inductively coupled plasma sector field mass spectrometry,2.5 nanograms per gram,,frontal lobe,Vanadium,5 nanograms per gram,mean,,United States,,,,,,
26721301,Environmental,Metals,,,,14,Subjects with disease:Alzheimer Disease,postmortem sample,,78 years (average),Both Males and Females,,inductively coupled plasma sector field mass spectrometry,1250 nanograms per gram,,frontal lobe,Zinc,12099 nanograms per gram,mean,,United States,,,,,,
26721301,Environmental,Metals,,,,14,Subjects with disease:Alzheimer Disease,postmortem sample,,78 years (average),Both Males and Females,,inductively coupled plasma sector field mass spectrometry,10 nanograms per milliliter,,ventricular fluid,Arsenic,18 nanograms per milliliter,mean,,United States,,,,prediction/hypothesis,Alzheimer Disease,
26721301,Environmental,Metals,,,,14,Subjects with disease:Alzheimer Disease,postmortem sample,,78 years (average),Both Males and Females,,inductively coupled plasma sector field mass spectrometry,3.75 nanograms per milliliter,,ventricular fluid,Cadmium,<LOQ,mean,,United States,,,,,,
26721301,Environmental,Metals,,,,14,Subjects with disease:Alzheimer Disease,postmortem sample,,78 years (average),Both Males and Females,,inductively coupled plasma sector field mass spectrometry,10 nanograms per milliliter,,ventricular fluid,Chromium,17.5 nanograms per milliliter,mean,,United States,,,,,,
26721301,Environmental,Metals,,,,14,Subjects with disease:Alzheimer Disease,postmortem sample,,78 years (average),Both Males and Females,,inductively coupled plasma sector field mass spectrometry,500 nanograms per milliliter,,ventricular fluid,Copper,117.5 nanograms per milliliter,mean,,United States,,,,,,
26721301,Environmental,Metals,,,,14,Subjects with disease:Alzheimer Disease,postmortem sample,,78 years (average),Both Males and Females,,inductively coupled plasma sector field mass spectrometry,1250 nanograms per milliliter,,ventricular fluid,Iron,6994.9 nanograms per milliliter,mean,,United States,,,,,,
26721301,Environmental,Metals,,,,14,Subjects with disease:Alzheimer Disease,postmortem sample,,78 years (average),Both Males and Females,,inductively coupled plasma sector field mass spectrometry,3.75 nanograms per milliliter,,ventricular fluid,Mercury,<LOQ,mean,,United States,,,,,,
26721301,Environmental,Metals,,,,14,Subjects with disease:Alzheimer Disease,postmortem sample,,78 years (average),Both Males and Females,,inductively coupled plasma sector field mass spectrometry,2.5 nanograms per milliliter,,ventricular fluid,Manganese,25.1 nanograms per milliliter,mean,,United States,,,,,,
26721301,Environmental,Metals,,,,14,Subjects with disease:Alzheimer Disease,postmortem sample,,78 years (average),Both Males and Females,,inductively coupled plasma sector field mass spectrometry,10 nanograms per milliliter,,ventricular fluid,Nickel,19.6 nanograms per milliliter,mean,,United States,,,,,,
26721301,Environmental,Metals,,,,14,Subjects with disease:Alzheimer Disease,postmortem sample,,78 years (average),Both Males and Females,,inductively coupled plasma sector field mass spectrometry,5 nanograms per milliliter,,ventricular fluid,Lead,34 nanograms per milliliter,mean,,United States,,,,,,
26721301,Environmental,Metals,,,,14,Subjects with disease:Alzheimer Disease,postmortem sample,,78 years (average),Both Males and Females,,inductively coupled plasma sector field mass spectrometry,2.5 nanograms per milliliter,,ventricular fluid,Tin,7 nanograms per milliliter,mean,,United States,,,,,,
26721301,Environmental,Metals,,,,14,Subjects with disease:Alzheimer Disease,postmortem sample,,78 years (average),Both Males and Females,,inductively coupled plasma sector field mass spectrometry,2.5 nanograms per milliliter,,ventricular fluid,Vanadium,<LOQ,mean,,United States,,,,,,
26721301,Environmental,Metals,,,,14,Subjects with disease:Alzheimer Disease,postmortem sample,,78 years (average),Both Males and Females,,inductively coupled plasma sector field mass spectrometry,1250 nanograms per milliliter,,ventricular fluid,Zinc,845.2 nanograms per milliliter,mean,,United States,,,,,,
26721301,Environmental,Metals,,,,15,Controls for disease:Alzheimer Disease,postmortem sample,,88 years (average),Both Males and Females,,inductively coupled plasma sector field mass spectrometry,10 nanograms per gram,,frontal lobe,Arsenic,159 nanograms per gram,mean,,United States,,,,,,
26721301,Environmental,Metals,,,,15,Controls for disease:Alzheimer Disease,postmortem sample,,88 years (average),Both Males and Females,,inductively coupled plasma sector field mass spectrometry,3.75 nanograms per gram,,frontal lobe,Cadmium,30 nanograms per gram,mean,,United States,,,,,,
26721301,Environmental,Metals,,,,15,Controls for disease:Alzheimer Disease,postmortem sample,,88 years (average),Both Males and Females,,inductively coupled plasma sector field mass spectrometry,10 nanograms per gram,,frontal lobe,Chromium,91 nanograms per gram,mean,,United States,,,,,,
26721301,Environmental,Metals,,,,15,Controls for disease:Alzheimer Disease,postmortem sample,,88 years (average),Both Males and Females,,inductively coupled plasma sector field mass spectrometry,500 nanograms per gram,,frontal lobe,Copper,2398 nanograms per gram,mean,,United States,,,,,,
26721301,Environmental,Metals,,,,15,Controls for disease:Alzheimer Disease,postmortem sample,,88 years (average),Both Males and Females,,inductively coupled plasma sector field mass spectrometry,1250 nanograms per gram,,frontal lobe,Iron,34140 nanograms per gram,mean,,United States,,,,,,
26721301,Environmental,Metals,,,,15,Controls for disease:Alzheimer Disease,postmortem sample,,88 years (average),Both Males and Females,,inductively coupled plasma sector field mass spectrometry,3.75 nanograms per gram,,frontal lobe,Mercury,9 nanograms per gram,mean,,United States,,,,,,
26721301,Environmental,Metals,,,,15,Controls for disease:Alzheimer Disease,postmortem sample,,88 years (average),Both Males and Females,,inductively coupled plasma sector field mass spectrometry,2.5 nanograms per gram,,frontal lobe,Manganese,182 nanograms per gram,mean,,United States,,,,,,
26721301,Environmental,Metals,,,,15,Controls for disease:Alzheimer Disease,postmortem sample,,88 years (average),Both Males and Females,,inductively coupled plasma sector field mass spectrometry,10 nanograms per gram,,frontal lobe,Nickel,36 nanograms per gram,mean,,United States,,,,,,
26721301,Environmental,Metals,,,,15,Controls for disease:Alzheimer Disease,postmortem sample,,88 years (average),Both Males and Females,,inductively coupled plasma sector field mass spectrometry,5 nanograms per gram,,frontal lobe,Lead,27 nanograms per gram,mean,,United States,,,,,,
26721301,Environmental,Metals,,,,15,Controls for disease:Alzheimer Disease,postmortem sample,,88 years (average),Both Males and Females,,inductively coupled plasma sector field mass spectrometry,2.5 nanograms per gram,,frontal lobe,Tin,32 nanograms per gram,mean,,United States,,,,,,
26721301,Environmental,Metals,,,,15,Controls for disease:Alzheimer Disease,postmortem sample,,88 years (average),Both Males and Females,,inductively coupled plasma sector field mass spectrometry,2.5 nanograms per gram,,frontal lobe,Vanadium,3 nanograms per gram,mean,,United States,,,,,,
26721301,Environmental,Metals,,,,15,Controls for disease:Alzheimer Disease,postmortem sample,,88 years (average),Both Males and Females,,inductively coupled plasma sector field mass spectrometry,1250 nanograms per gram,,frontal lobe,Zinc,12073 nanograms per gram,mean,,United States,,,,,,
26721301,Environmental,Metals,,,,15,Controls for disease:Alzheimer Disease,postmortem sample,,88 years (average),Both Males and Females,,inductively coupled plasma sector field mass spectrometry,10 nanograms per milliliter,,ventricular fluid,Arsenic,13 nanograms per milliliter,mean,,United States,,,,,,
26721301,Environmental,Metals,,,,15,Controls for disease:Alzheimer Disease,postmortem sample,,88 years (average),Both Males and Females,,inductively coupled plasma sector field mass spectrometry,3.75 nanograms per milliliter,,ventricular fluid,Cadmium,<LOQ,mean,,United States,,,,,,
26721301,Environmental,Metals,,,,15,Controls for disease:Alzheimer Disease,postmortem sample,,88 years (average),Both Males and Females,,inductively coupled plasma sector field mass spectrometry,10 nanograms per milliliter,,ventricular fluid,Chromium,14.4 nanograms per milliliter,mean,,United States,,,,,,
26721301,Environmental,Metals,,,,15,Controls for disease:Alzheimer Disease,postmortem sample,,88 years (average),Both Males and Females,,inductively coupled plasma sector field mass spectrometry,500 nanograms per milliliter,,ventricular fluid,Copper,104.2 nanograms per milliliter,mean,,United States,,,,,,
26721301,Environmental,Metals,,,,15,Controls for disease:Alzheimer Disease,postmortem sample,,88 years (average),Both Males and Females,,inductively coupled plasma sector field mass spectrometry,1250 nanograms per milliliter,,ventricular fluid,Iron,1035.6 nanograms per milliliter,mean,,United States,,,,,,
