"Category","Disease","Gene Symbol","Type","PMID","Source"
"Central Nervous System Diseases; Cerebrovascular Disorders","Acute Cerebral Infarction","hsa-mir-124a-1","miRNA","21551949  ","HMDD"
"Central Nervous System Diseases; Cerebrovascular Disorders","Acute Cerebral Infarction","hsa-mir-124a-2","miRNA","21551949  ","HMDD"
"Central Nervous System Diseases; Cerebrovascular Disorders","Acute Cerebral Infarction","hsa-mir-124a-3","miRNA","21551949  ","HMDD"
"Central Nervous System Diseases; Cerebrovascular Disorders","Acute Cerebral Infarction","hsa-mir-146","miRNA","23202363  ","HMDD"
"Central Nervous System Diseases; Cerebrovascular Disorders","Acute Cerebral Infarction","hsa-mir-149","miRNA","23202363  ","HMDD"
"Central Nervous System Diseases; Cerebrovascular Disorders","Acute Cerebral Infarction","hsa-mir-16","miRNA","27846323  ","HMDD"
"Central Nervous System Diseases; Cerebrovascular Disorders","Acute Cerebral Infarction","hsa-mir-196-1","miRNA","23202363  ","HMDD"
"Central Nervous System Diseases; Cerebrovascular Disorders","Acute Cerebral Infarction","hsa-mir-196-2","miRNA","23202363  ","HMDD"
"Central Nervous System Diseases; Cerebrovascular Disorders","Acute Cerebral Infarction","hsa-mir-21","miRNA","24841240  28389999  ","HMDD"
"Central Nervous System Diseases; Cerebrovascular Disorders","Acute Cerebral Infarction","hsa-mir-210","miRNA","25476086  29434712  ","HMDD"
"Central Nervous System Diseases; Cerebrovascular Disorders","Acute Cerebral Infarction","hsa-mir-24","miRNA","24841240  ","HMDD"
"Central Nervous System Diseases; Cerebrovascular Disorders","Acute Cerebral Infarction","hsa-mir-26a","miRNA","29917203  ","HMDD"
"Central Nervous System Diseases; Cerebrovascular Disorders","Acute Cerebral Infarction","hsa-mir-491","miRNA","23257658  ","HMDD"
"Central Nervous System Diseases; Cerebrovascular Disorders","Acute Cerebral Ischemia","hsa-mir-210","miRNA","21622133  ","HMDD"
"Nervous System Diseases; Cerebrovascular Disorders","Acute Ischemic Stroke","hsa-let-7i","miRNA","24911610  27784773  ","HMDD"
"Nervous System Diseases; Cerebrovascular Disorders","Acute Ischemic Stroke","hsa-mir-122a","miRNA","24911610  ","HMDD"
"Nervous System Diseases; Cerebrovascular Disorders","Acute Ischemic Stroke","hsa-mir-124","miRNA","26459744  ","HMDD"
"Nervous System Diseases; Cerebrovascular Disorders","Acute Ischemic Stroke","hsa-mir-125","miRNA","26459744  ","HMDD"
"Nervous System Diseases; Cerebrovascular Disorders","Acute Ischemic Stroke","hsa-mir-126","miRNA","30030634  ","HMDD"
"Nervous System Diseases; Cerebrovascular Disorders","Acute Ischemic Stroke","hsa-mir-130a","miRNA","30030634  ","HMDD"
"Nervous System Diseases; Cerebrovascular Disorders","Acute Ischemic Stroke","hsa-mir-145","miRNA","26096228  ","HMDD"
"Nervous System Diseases; Cerebrovascular Disorders","Acute Ischemic Stroke","hsa-mir-148","miRNA","24911610  ","HMDD"
"Nervous System Diseases; Cerebrovascular Disorders","Acute Ischemic Stroke","hsa-mir-19a","miRNA","24911610  ","HMDD"
"Nervous System Diseases; Cerebrovascular Disorders","Acute Ischemic Stroke","hsa-mir-210","miRNA","27390218  ","HMDD"
"Nervous System Diseases; Cerebrovascular Disorders","Acute Ischemic Stroke","hsa-mir-218","miRNA","26459744  ","HMDD"
"Nervous System Diseases; Cerebrovascular Disorders","Acute Ischemic Stroke","hsa-mir-22","miRNA","26459744  ","HMDD"
"Nervous System Diseases; Cerebrovascular Disorders","Acute Ischemic Stroke","hsa-mir-223","miRNA","24708646  ","HMDD"
"Nervous System Diseases; Cerebrovascular Disorders","Acute Ischemic Stroke","hsa-mir-23","miRNA","26459744  ","HMDD"
"Nervous System Diseases; Cerebrovascular Disorders","Acute Ischemic Stroke","hsa-mir-30","miRNA","26459744  ","HMDD"
"Nervous System Diseases; Cerebrovascular Disorders","Acute Ischemic Stroke","hsa-mir-320b","miRNA","29926387  ","HMDD"
"Nervous System Diseases; Cerebrovascular Disorders","Acute Ischemic Stroke","hsa-mir-320d","miRNA","24911610  ","HMDD"
"Nervous System Diseases; Cerebrovascular Disorders","Acute Ischemic Stroke","hsa-mir-33","miRNA","26459744  ","HMDD"
"Nervous System Diseases; Cerebrovascular Disorders","Acute Ischemic Stroke","hsa-mir-330","miRNA","26459744  ","HMDD"
"Nervous System Diseases; Cerebrovascular Disorders","Acute Ischemic Stroke","hsa-mir-335","miRNA","27856935  ","HMDD"
"Nervous System Diseases; Cerebrovascular Disorders","Acute Ischemic Stroke","hsa-mir-340","miRNA","30112629  ","HMDD"
"Nervous System Diseases; Cerebrovascular Disorders","Acute Ischemic Stroke","hsa-mir-4429","miRNA","24911610  ","HMDD"
"Nervous System Diseases; Cerebrovascular Disorders","Acute Ischemic Stroke","hsa-mir-487b","miRNA","24911610  ","HMDD"
"Nervous System Diseases; Cerebrovascular Disorders","Acute Ischemic Stroke","hsa-mir-9","miRNA","26459744  ","HMDD"
"Nervous System Diseases; Cerebrovascular Disorders","Acute Ischemic Stroke","hsa-mir-93","miRNA","29926387  ","HMDD"
"Mental Disorders","Affective Disorder","DISC2","lncRNA","15478311  ","LncBook"
"Nervous System Diseases","Agenesis Corpus Callosum","ARX","mRNA","-","Brain Disease Knowledgebase"
"Nervous System Diseases","Agenesis Corpus Callosum","EOMES","mRNA","-","Brain Disease Knowledgebase"
"Nervous System Diseases","Agenesis Corpus Callosum","FGFR1","mRNA","-","Brain Disease Knowledgebase"
"Nervous System Diseases","Agenesis Corpus Callosum","HCCS","mRNA","-","Brain Disease Knowledgebase"
"Nervous System Diseases","Agenesis Corpus Callosum","IGBP1","mRNA","-","Brain Disease Knowledgebase"
"Nervous System Diseases","Agenesis Corpus Callosum","L1CAM","mRNA","-","Developmental Brain Disorders Database"
"Nervous System Diseases","Agenesis Corpus Callosum","LRP2","mRNA","-","Brain Disease Knowledgebase"
"Nervous System Diseases","Agenesis Corpus Callosum","MRPS16","mRNA","-","Brain Disease Knowledgebase"
"Nervous System Diseases","Agenesis Corpus Callosum","OTX2","mRNA","-","Brain Disease Knowledgebase"
"Nervous System Diseases","Agenesis Corpus Callosum","SLC12A6","mRNA","-","Brain Disease Knowledgebase"
"Nervous System Diseases","Agenesis Corpus Callosum","TMEM67","mRNA","-","Brain Disease Knowledgebase"
"Nervous System Diseases","Agenesis Corpus Callosum","TUBB3","mRNA","-","Brain Disease Knowledgebase"
"Nervous System Diseases","Alopecia with Mental Retardation","ITGB6","mRNA","-","Developmental Brain Disorders Database"
"Nervous System Diseases","Alpha-Thalassemia X-Linked Intellectual Disability Syndrome","ATRX","mRNA","-","Developmental Brain Disorders Database"
"Nervous System Diseases","Alternating Hemiplegia of Childhood","ATP1A3","mRNA","-","Developmental Brain Disorders Database"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AC005017.1","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AC005789.9","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AC006277.2","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AC008937.3","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AC009312.1","antisense","26830138  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AC011481.2","antisense","23419831  28183528  30636644  30979435  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AC012100.2","antisense","24162737  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AC018890.6","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AC019131.1","antisense","26830138  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AC021092.1","antisense","19118814  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AC034228.2","antisense","25778476  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AC034228.3","antisense","25778476  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AC068189.2","antisense","24162737  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AC069272.1","antisense","26830138  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AC073254.1","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AC083906.3","antisense","30636644  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AC087500.1","antisense","24162737  30617256  31473137  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AC095060.1","antisense","26830138  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AC096667.1","antisense","26830138  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AC105411.1","antisense","26830138  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AC107959.1","antisense","29860282  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AC116634.1","antisense","26830138  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AC127496.1","antisense","26830138  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AC243964.2","antisense","30979435  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AL137789.1","antisense","25778476  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AL138828.1","antisense","23535033  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AL157777.1","antisense","30514930  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AL355297.2","antisense","23419831  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AL445433.2","antisense","26830138  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AL512328.1","antisense","30514930  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AL512631.1","antisense","24162737  25778476  28183528  30617256  30820047  ","GWAS Catalog"
