variable,value,value_description
CurrPDDiag,"0","No"
CurrPDDiag,"1","Yes"
CGIPD,"2","Minimally worse"
CGIPD,"3","No change"
CGIPD,"1","Much worse"
CGIPD,"0","Very much worse"
CGIPD,"4","Minimally improved"
CGIPD,"5","Much improved"
CGIPD,"6","Very much improved"
DepressionHx,"1","Yes"
DepressionHx,"0","No"
DepressionHx,"3","Prefer not to answer"
DepressionHxTrt,"1","Yes"
DepressionHxTrt,"0","No"
DepressionHxLim,"0","No"
DepressionHxLim,"1","Yes"
AnxietyHx,"1","Yes"
AnxietyHx,"0","No"
AnxietyHx,"3","Prefer not to answer"
AnxietyHxTrt,"0","No"
AnxietyHxTrt,"1","Yes"
AnxietyHxLim,"0","No"
AnxietyHxLim,"1","Yes"
Anxiety,"1","Yes"
Anxiety,"0","No"
Anxiety,"3","Prefer not to answer"
AnxietyDia,"1","Yes"
AnxietyDia,"0","No"
AnxietyStat,"3","Controlled by medication, therapy, diet or other means"
AnxietyStat,"1","Not currently under treatment"
AnxietyStat,"2","Under treatment, but not controlled"
AnxietyStat,"4","Resolved or cured"
Depress,"1","Yes"
Depress,"0","No"
Depress,"3","Prefer not to answer"
DepressDia,"1","Yes"
DepressDia,"0","No"
DepressStat,"3","Controlled by medication, therapy, diet or other means"
DepressStat,"1","Not currently under treatment"
DepressStat,"2","Under treatment, but not controlled"
DepressStat,"4","Resolved or cured"
LeisureDay,"3","Often (5-7) days"
LeisureDay,"2","Sometimes (3-4 days)"
LeisureDay,"1","Seldom (1-2 days)"
LeisureDay,"0","Never"
LeisureDay,"4","Prefer not to answer"
LeisureHours,"3","2-4 hours"
LeisureHours,"4","More than 4 hours"
LeisureHours,"2","1 but less than 2 hours"
LeisureHours,"1","Less than 1 hour"
WalkDay,"2","Sometimes (3-4 days)"
WalkDay,"3","Often (5-7) days"
WalkDay,"0","Never"
WalkDay,"1","Seldom (1-2 days)"
WalkDay,"4","Prefer not to answer"
WalkHours,"1","Less than 1 hour"
WalkHours,"2","1 but less than 2 hours"
WalkHours,"4","More than 4 hours"
WalkHours,"3","2-4 hours"
LightSportDay,"0","Never"
LightSportDay,"2","Sometimes (3-4 days)"
LightSportDay,"1","Seldom (1-2 days)"
LightSportDay,"3","Often (5-7) days"
LightSportDay,"4","Prefer not to answer"
LightSportHours,"2","1 but less than 2 hours"
LightSportHours,"3","2-4 hours"
LightSportHours,"1","Less than 1 hour"
LightSportHours,"4","More than 4 hours"
ModSportDay,"0","Never"
ModSportDay,"1","Seldom (1-2 days)"
ModSportDay,"2","Sometimes (3-4 days)"
ModSportDay,"3","Often (5-7) days"
ModSportDay,"4","Prefer not to answer"
ModSportHours,"2","1 but less than 2 hours"
ModSportHours,"1","Less than 1 hour"
ModSportHours,"3","2-4 hours"
ModSportHours,"4","More than 4 hours"
StrenSportDay,"0","Never"
StrenSportDay,"3","Often (5-7) days"
StrenSportDay,"1","Seldom (1-2 days)"
StrenSportDay,"2","Sometimes (3-4 days)"
StrenSportDay,"4","Prefer not to answer"
StrenSportHours,"1","Less than 1 hour"
StrenSportHours,"2","1 but less than 2 hours"
StrenSportHours,"3","2-4 hours"
StrenSportHours,"4","More than 4 hours"
StrengthDay,"0","Never"
StrengthDay,"2","Sometimes (3-4 days)"
StrengthDay,"1","Seldom (1-2 days)"
StrengthDay,"3","Often (5-7) days"
StrengthDay,"4","Prefer not to answer"
StrengthHours,"2","1 but less than 2 hours"
StrengthHours,"1","Less than 1 hour"
StrengthHours,"3","2-4 hours"
StrengthHours,"4","More than 4 hours"
HouseLight,"1","Yes"
