UF,NU_ANO,IDH
AC,2009,0.663
AL,2009,0.631
AP,2009,0.708
AM,2009,0.674
BA,2009,0.66
CE,2009,0.682
DF,2009,0.824
ES,2009,0.74
GO,2009,0.735
MA,2009,0.639
MS,2009,0.729
MT,2009,0.725
MG,2009,0.731
PB,2009,0.658
PR,2009,0.749
PA,2009,0.646
PE,2009,0.673
PI,2009,0.646
RJ,2009,0.761
RN,2009,0.684
RS,2009,0.746
RO,2009,0.69
RR,2009,0.707
SC,2009,0.774
SP,2009,0.783
SE,2009,0.665
TO,2009,0.699
AC,2010,0.663
AL,2010,0.631
AP,2010,0.708
AM,2010,0.674
BA,2010,0.66
CE,2010,0.682
DF,2010,0.824
ES,2010,0.74
GO,2010,0.735
MA,2010,0.639
MS,2010,0.729
MT,2010,0.725
MG,2010,0.731
PB,2010,0.658
PR,2010,0.749
PA,2010,0.646
PE,2010,0.673
PI,2010,0.646
RJ,2010,0.761
RN,2010,0.684
RS,2010,0.746
RO,2010,0.69
RR,2010,0.707
SC,2010,0.774
SP,2010,0.783
SE,2010,0.665
TO,2010,0.699
AC,2011,0.663
AL,2011,0.631
AP,2011,0.708
AM,2011,0.674
BA,2011,0.66
CE,2011,0.682
DF,2011,0.824
ES,2011,0.74
GO,2011,0.735
MA,2011,0.639
MS,2011,0.729
MT,2011,0.725
MG,2011,0.731
PB,2011,0.658
PR,2011,0.749
PA,2011,0.646
PE,2011,0.673
PI,2011,0.646
RJ,2011,0.761
RN,2011,0.684
RS,2011,0.746
RO,2011,0.69
RR,2011,0.707
SC,2011,0.774
SP,2011,0.783
SE,2011,0.665
TO,2011,0.699
AC,2012,0.701
AL,2012,0.651
AP,2012,0.707
AM,2012,0.691
BA,2012,0.678
CE,2012,0.701
DF,2012,0.825
ES,2012,0.758
GO,2012,0.744
MA,2012,0.648
MS,2012,0.733
MT,2012,0.742
MG,2012,0.75
PB,2012,0.673
PR,2012,0.772
PA,2012,0.666
PE,2012,0.688
PI,2012,0.66
RJ,2012,0.762
RN,2012,0.695
RS,2012,0.763
RO,2012,0.694
RR,2012,0.738
SC,2012,0.792
SP,2012,0.812
SE,2012,0.684
TO,2012,0.71
AC,2013,0.706
AL,2013,0.648
AP,2013,0.734
AM,2013,0.702
