Territorialidades,IDHM 2000,IDHM 2010,IDHM 2012,IDHM 2013,IDHM 2014,IDHM 2015,IDHM 2016,IDHM 2017,IDHM 2018,IDHM 2019
Brasil,0.612,0.727,0.746,0.753,0.762,0.765,0.771,0.774,0.78,0.785
Acre,0.517,0.663,0.701,0.706,0.715,0.718,0.723,0.712,0.733,0.739
Alagoas,0.471,0.631,0.651,0.648,0.666,0.666,0.68,0.679,0.689,0.687
Amapá,0.577,0.708,0.707,0.734,0.725,0.728,0.733,0.732,0.741,0.737
Amazonas,0.515,0.674,0.691,0.702,0.706,0.711,0.711,0.728,0.718,0.726
Bahia,0.512,0.66,0.678,0.68,0.694,0.701,0.705,0.71,0.71,0.718
Ceará,0.541,0.682,0.701,0.705,0.71,0.715,0.722,0.73,0.739,0.744
Distrito Federal,0.725,0.824,0.825,0.837,0.836,0.837,0.847,0.842,0.845,0.859
Espírito Santo,0.64,0.74,0.758,0.765,0.772,0.776,0.779,0.78,0.788,0.793
Goiás,0.615,0.735,0.744,0.752,0.757,0.755,0.764,0.765,0.771,0.774
Maranhão,0.476,0.639,0.648,0.661,0.663,0.669,0.68,0.685,0.686,0.694
Mato Grosso do Sul,0.613,0.729,0.733,0.743,0.745,0.74,0.758,0.762,0.77,0.777
Mato Grosso,0.601,0.725,0.742,0.758,0.762,0.77,0.769,0.77,0.778,0.779
Minas Gerais,0.624,0.731,0.75,0.758,0.77,0.774,0.776,0.784,0.784,0.793
Paraíba,0.506,0.658,0.673,0.67,0.69,0.703,0.704,0.717,0.711,0.713
Paraná,0.65,0.749,0.772,0.782,0.788,0.786,0.797,0.797,0.805,0.807
Pará,0.518,0.646,0.666,0.671,0.684,0.689,0.687,0.694,0.707,0.704
Pernambuco,0.544,0.673,0.688,0.703,0.715,0.722,0.724,0.722,0.735,0.74
Piauí,0.484,0.646,0.66,0.679,0.686,0.689,0.685,0.694,0.699,0.706
Rio de Janeiro,0.664,0.761,0.762,0.768,0.78,0.785,0.789,0.791,0.805,0.809
Rio Grande do Norte,0.552,0.684,0.695,0.71,0.723,0.733,0.732,0.728,0.739,0.742
Rio Grande do Sul,0.664,0.746,0.763,0.773,0.779,0.787,0.789,0.793,0.797,0.801
Rondônia,0.537,0.69,0.694,0.687,0.692,0.706,0.715,0.721,0.73,0.73
Roraima,0.598,0.707,0.738,0.738,0.744,0.748,0.752,0.746,0.76,0.749
Santa Catarina,0.674,0.774,0.792,0.801,0.807,0.809,0.814,0.817,0.819,0.826
São Paulo,0.702,0.783,0.812,0.818,0.825,0.823,0.835,0.831,0.837,0.845
Sergipe,0.518,0.665,0.684,0.683,0.696,0.697,0.697,0.699,0.71,0.705
Tocantins,0.525,0.699,0.71,0.719,0.737,0.73,0.734,0.74,0.749,0.751
